Fournisseurs,n_facture,Montant,Date_de_facture,Date_echeance,n_sem,Mis_en_paie,EMAIL,id_fournisseurs
Luthor Corp,F1921544,8295.0,2021-03-29,2021-06-27,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921545,805.0,2021-03-29,2021-06-27,25,2021-12-26 22:54:15,contact@luther.fr,4
Luthor Corp,F1921546,540.0,2021-03-29,2021-06-27,25,2021-12-26 22:54:15,contact@luther.fr,4
Sofroco-Gedec,21F220541,756.2,2021-05-27,2021-06-27,25,2021-12-26 22:54:15,contact@sofroco-gedec.fr,21
Sofroco-Gedec,21F232209,1300.4,2021-06-03,2021-06-27,25,2021-12-26 22:54:15,contact@sofroco-gedec.fr,21
Luthor Corp,F1921571,34060.6,2021-03-30,2021-06-28,26,2021-12-22 22:42:23,contact@luther.fr,4
Luthor Corp,F1921572,42243.75,2021-03-30,2021-06-28,26,2021-12-22 22:42:23,contact@luther.fr,4
Luthor Corp,F1921573,6016.2,2021-03-30,2021-06-28,26,2021-12-22 22:42:23,contact@luther.fr,4
Luthor Corp,F1921574,149234.0,2021-03-30,2021-06-28,26,2021-12-22 22:42:23,contact@luther.fr,4
Luthor Corp,F1921575,26781.0,2021-03-30,2021-06-28,26,2021-12-22 22:42:23,contact@luther.fr,4
Luthor Corp,F1921576,15951.0,2021-03-30,2021-06-28,26,2021-12-22 22:42:23,contact@luther.fr,4
Luthor Corp,F1921577,2351.24,2021-03-30,2021-06-28,26,2021-12-22 22:42:23,contact@luther.fr,4
Luthor Corp,F1921578,3194.01,2021-03-30,2021-06-28,26,2021-12-22 22:42:23,contact@luther.fr,4
Luthor Corp,F1921579,1309.0,2021-03-30,2021-06-28,26,2021-12-22 22:42:23,contact@luther.fr,4
Sienar Technologies,10847,580.0,2021-01-27,2021-06-28,26,2021-12-22 22:42:23,,8
Sienar Technologies,11542,413.0,2021-03-05,2021-06-28,26,2021-12-22 22:42:23,,8
Sienar Technologies,12425,245.0,2021-04-22,2021-06-28,26,2021-12-22 22:42:23,,8
Sienar Technologies,12480,700.0,2021-04-23,2021-06-28,26,2021-12-22 22:42:23,,8
Sienar Technologies,11315 / 11194,693.0,2021-02-23,2021-06-28,26,2021-12-22 22:42:23,,8
Beau-Line,170621,3005.0,2021-06-17,2021-06-30,26,2021-12-22 22:42:23,,29
Cordell SA,58008,1000.0,2021-05-31,2021-06-30,26,2021-12-22 22:42:23,,10
General Broadcasting Corporation,FA010847,1487.9,2021-05-03,2021-06-30,26,2021-12-22 22:42:23,,30
Geugène Industrie,2105062,1372.86,2021-05-31,2021-06-30,26,2021-12-22 22:42:23,contact@geugene.fr,3
Tricatel,2361/21,3295.68,2021-05-31,2021-06-30,26,2021-12-22 22:42:23,,31
Luthor Corp,F1921628,19206.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921629,158.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921643,665.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921644,465.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921697,245.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921698,188.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921733,60800.8,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921734,355.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921735,1185.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921736,198.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921759,365.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Luthor Corp,F1921760,465.0,2021-04-09,2021-07-08,27,2021-12-19 16:01:47,contact@luther.fr,4
Pyramid Transnational,2021/6848,609.15,2021-06-11,2021-07-11,27,2021-12-19 16:01:47,,7
Altra Automotive,ff30372,7430.0,2021-06-30,2021-07-12,28,2021-12-19 16:02:23,,13
Big Jerry Cab Co,FE2021060471,336.2,2021-06-04,2021-07-13,28,2021-12-19 16:02:23,compta@bjcc.fr,32
Big Jerry Cab Co,FE2021060472,336.2,2021-06-04,2021-07-13,28,2021-12-19 16:02:23,compta@bjcc.fr,32
Vladis Entreprise,264/1,131.0,2021-05-14,2021-07-13,28,2021-12-19 16:02:23,contact@vladisentreprise.fr,20
Soylent Green,2716384924,731.6,2021-07-13,2021-07-14,28,2021-12-19 16:02:23,,33
General Broadcasting Corporation,FA010848,2610.9,2021-05-21,2021-07-15,28,2021-12-19 16:02:23,,30
General Broadcasting Corporation,FA010888,1119.94,2021-06-08,2021-07-15,28,2021-12-19 16:02:23,,30
Geugène Industrie,2106007,1727.61,2021-06-15,2021-07-15,28,2021-12-19 16:02:23,contact@geugene.fr,3
Luthor Corp,F1921771,545.0,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921811,204.0,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921812,245.0,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921813,1305.0,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921814,290.0,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921842,9253.0,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921854,14405.0,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921855,31803.93,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921856,9303.93,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921868,495.0,2021-04-16,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1921920,194.0,2021-04-23,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,F1922088,-95.0,2021-04-27,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Luthor Corp,FA00005314,-3171.48,2021-06-15,2021-07-15,28,2021-12-19 16:02:23,contact@luther.fr,4
Tricatel,2366/21,7275.64,2021-06-21,2021-07-15,28,2021-12-19 16:02:23,,31
Vladis Entreprise,271/1,56.0,2021-05-18,2021-07-17,28,2021-12-19 16:02:23,contact@vladisentreprise.fr,20
Bross & Clackwell,P21060023,9005.0,2021-06-11,2021-07-19,29,2021-12-19 17:07:29,,22
World Company,9477373800,262.11,2021-06-05,2021-07-19,29,2021-12-19 17:07:29,,23
World Company,9477446404,40.0,2021-06-09,2021-07-19,29,2021-12-19 17:07:29,,23
World Company,9477560118,997.75,2021-06-18,2021-07-19,29,2021-12-19 17:07:29,,23
World Company,9478040664,79.0,2021-07-06,2021-07-19,29,2021-12-19 17:07:29,,23
Le Yankee,10247,581.0,2021-07-20,2021-07-21,29,2021-12-19 17:07:29,,17
Cordell SA,58147,6755.0,2021-06-22,2021-07-22,29,2021-12-19 17:07:29,,10
Cordell SA,58148,2405.0,2021-06-22,2021-07-22,29,2021-12-19 17:07:29,,10
Luthor Corp,F1921921,132.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1921923,395.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1921924,202.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1921967,141.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1921968,15.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1921969,118.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1921970,54.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1921971,695.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1922006,235.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1922007,138.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1922008,64.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1922046,977.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1922047,1085.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1922048,325.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1922049,395.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1922050,54.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Luthor Corp,F1922051,1285.0,2021-04-23,2021-07-22,29,2021-12-19 17:07:29,contact@luther.fr,4
Cordell SA,58176,6228.0,2021-06-29,2021-07-29,30,2021-12-19 17:08:19,,10
Cordell SA,58177,4228.0,2021-06-29,2021-07-29,30,2021-12-19 17:08:19,,10
Luthor Corp,F1922093,49.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922094,23165.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922101,51285.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922102,133.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922127,395.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922129,465.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922199,47897.5,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922200,122.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922201,600.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922202,290.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922203,94.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Luthor Corp,F1922204,116.0,2021-04-30,2021-07-29,30,2021-12-19 17:08:19,contact@luther.fr,4
Cordell SA,58257,67.0,2021-06-30,2021-07-30,30,2021-12-19 17:08:19,,10
Geugène Industrie,2106080,1385.8,2021-06-30,2021-07-30,30,2021-12-19 17:08:19,contact@geugene.fr,3
Protovision,2021-178,45132.0,2021-06-30,2021-07-30,30,2021-12-19 17:08:19,,34
Cross Technological Enterprises ,21/01736,1578.2,2021-06-11,2021-07-31,30,2021-12-19 17:08:19,,25
Sienar Technologies,13171,35.0,2021-06-01,2021-07-31,30,2021-12-19 17:08:19,,8
Vladis Entreprise,305/1,36.0,2021-06-01,2021-07-31,30,2021-12-19 17:08:19,contact@vladisentreprise.fr,20
Big Jerry Cab Co,FE2021070277,90.0,2021-07-02,2021-08-01,30,2021-12-19 17:08:19,compta@bjcc.fr,32
Groupe W.,G428-128,193425.0,2021-07-03,2021-08-02,31,2021-12-19 17:10:49,,24
Vladis Entreprise,589,202.0,2021-06-04,2021-08-03,31,2021-12-19 17:10:49,contact@vladisentreprise.fr,20
LexCorp,69003095,435.04,2021-06-22,2021-08-04,31,2021-12-19 17:10:49,,35
Luthor Corp,F1922233,1990.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922234,705.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922235,35799.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922236,395.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922237,395.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922238,325.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922267,112.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922268,465.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922269,325.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922270,500.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922272,203.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922273,50.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922274,103.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922275,240.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922289,395.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922290,184.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922291,99.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922292,240.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922312,15.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922315,41.0,2021-05-07,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Luthor Corp,F1922357,14.43,2021-05-14,2021-08-05,31,2021-12-19 17:10:49,contact@luther.fr,4
Sienar Technologies,13402,405.0,2021-06-11,2021-08-10,32,2021-12-19 17:19:15,,8
Bross & Clackwell,FF1328-1,8728.0,2021-07-12,2021-08-11,32,2021-12-19 17:19:15,,22
Luthor Corp,F1922340,592.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922341,188.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922349,83855.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922351,395.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922352,148.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922353,865.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922354,78.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922374,51261.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922381,917.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922384,99.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922401,198.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922414,620.97,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922415,145.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922427,395.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Luthor Corp,F1922428,290.0,2021-05-14,2021-08-12,32,2021-12-19 17:19:15,contact@luther.fr,4
Geugène Industrie,2107006,455.89,2021-07-15,2021-08-14,32,2021-12-19 17:19:15,contact@geugene.fr,3
Altra Automotive,FF30917,8355.0,2021-07-31,2021-08-16,33,2021-12-19 17:49:59,,13
Beaumont-Liégard,SI_02976,1651.6,2021-06-28,2021-08-16,33,2021-12-19 17:49:59,,9
Blue Star Airlines,FA000086,527.0,2021-05-17,2021-08-16,33,2021-12-19 17:49:59,,36
Dapper Dan,1503152716,521.0,2021-06-30,2021-08-16,33,2021-12-19 17:49:59,,37
Dapper Dan,1503166119,773.0,2021-06-30,2021-08-16,33,2021-12-19 17:49:59,,37
Dinoco,A-685,1783.82,2021-08-16,2021-08-16,33,2021-12-19 17:49:59,,38
Nelson & Murdock,06/000986,701.74,2021-06-30,2021-08-16,33,2021-12-19 17:49:59,contact@nelsonmurdock.fr,39
Vladis Entreprise,315/1,88.0,2021-06-04,2021-08-16,33,2021-12-19 17:49:59,contact@vladisentreprise.fr,20
Wascomed,21525905,338.64,2021-06-28,2021-08-16,33,2021-12-19 17:49:59,,40
Wernham Hogg Paper Company,010/2021,2801.0,2021-07-07,2021-08-16,33,2021-12-19 17:49:59,,18
World Company,9478356652,382.05,2021-07-20,2021-08-16,33,2021-12-19 17:49:59,,23
Vladis Entreprise,348/1,49900.0,2021-06-18,2021-08-17,33,2021-12-19 17:49:59,contact@vladisentreprise.fr,20
Umbrella Corporation,L4 2021-08-18 FA01,5.0,2021-08-18,2021-08-18,33,2021-12-19 17:49:59,,14
Luthor Corp,F1922471,80055.0,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922472,5463.83,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922473,100.0,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922479,240.0,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922493,465.0,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922494,537.0,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922546,465.0,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922547,188.0,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922583,5345.63,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922598,785.0,2021-05-21,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Luthor Corp,F1922830,-970.0,2021-06-08,2021-08-19,33,2021-12-19 17:49:59,contact@luther.fr,4
Pyramid Transnational,2021/7194,211.47,2021-07-20,2021-08-20,33,2021-12-19 17:49:59,,7
Sienar Technologies,13540,4075.0,2021-06-21,2021-08-20,33,2021-12-19 17:49:59,,8
Vladis Entreprise,357/1,24.0,2021-06-22,2021-08-21,33,2021-12-19 17:49:59,contact@vladisentreprise.fr,20
World Company,9478356912,60.0,2021-07-22,2021-08-21,33,2021-12-19 17:49:59,,23
Altra Automotive,FF30672,7430.0,2021-08-23,2021-08-23,34,2021-12-19 17:50:17,,13
Sienar Technologies,13647,220.0,2021-06-24,2021-08-23,34,2021-12-19 17:50:17,,8
Vladis Entreprise,312/1,165.0,2021-08-23,2021-08-23,34,2021-12-19 17:50:17,contact@vladisentreprise.fr,20
Vladis Entreprise,334/1,168.0,2021-08-23,2021-08-23,34,2021-12-19 17:50:17,contact@vladisentreprise.fr,20
Vladis Entreprise,364/1,22.0,2021-06-24,2021-08-23,34,2021-12-19 17:50:17,contact@vladisentreprise.fr,20
Blue Star Airlines,FV21KE102750,551.0,2021-06-18,2021-08-25,34,2021-12-19 17:50:17,,36
Bross & Clackwell,P21060023-2,4505.0,2021-06-11,2021-08-25,34,2021-12-19 17:50:17,,22
Cordell SA,58378,345.0,2021-07-26,2021-08-25,34,2021-12-19 17:50:17,,10
Groupe W.,30442,2611.4,2021-06-16,2021-08-25,34,2021-12-19 17:50:17,,24
Luthor Corp,F1922601,465.0,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922615,2317.0,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922616,595.0,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922617,103.0,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922618,96.0,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922619,23.0,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922621,680.0,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922637,6327.63,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922638,23601.8,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922687,1006.0,2021-05-28,2021-08-26,34,2021-12-19 17:50:17,contact@luther.fr,4
Yamagato Industries,924789594,666.67,2021-07-07,2021-08-26,34,2021-12-19 17:50:17,,41
Drake & Sweeney,FAC7967,545.0,2021-07-30,2021-08-29,34,2021-12-19 17:50:17,,5
Luthor Corp,F1922704,845.51,2021-05-31,2021-08-29,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922706,5.0,2021-05-31,2021-08-29,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922707,325.0,2021-05-31,2021-08-29,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922708,1104.0,2021-05-31,2021-08-29,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922709,365.0,2021-05-31,2021-08-29,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922710,395.0,2021-05-31,2021-08-29,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922711,1320.0,2021-05-31,2021-08-29,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922712,137.0,2021-05-31,2021-08-29,34,2021-12-19 17:50:17,contact@luther.fr,4
Luthor Corp,F1922713,163.0,2021-05-31,2021-08-29,34,2021-12-19 17:50:17,contact@luther.fr,4
Geugène Industrie,2107078,1610.48,2021-07-31,2021-08-30,35,2021-12-19 17:50:40,contact@geugene.fr,3
Geugène Industrie,2107079,-431.96,2021-07-31,2021-08-30,35,2021-12-19 17:50:40,contact@geugene.fr,3
Nelson & Murdock,07/001209,2686.35,2021-07-31,2021-08-30,35,2021-12-19 17:50:40,contact@nelsonmurdock.fr,39
Blue Star Airlines,FV21KE103235,5399.36,2021-07-19,2021-08-31,35,2021-12-19 17:50:40,,36
Wernham Hogg Paper Company,011/2021,2801.0,2021-08-07,2021-08-31,35,2021-12-19 17:50:40,,18
Big Jerry Cab Co,FE2021080029,115.0,2021-08-02,2021-09-01,35,2021-12-19 17:50:40,compta@bjcc.fr,32
Drake & Sweeney,FAC7971,605.0,2021-08-03,2021-09-02,35,2021-12-19 17:50:40,,5
Luthor Corp,F1922773,925.0,2021-06-04,2021-09-02,35,2021-12-19 17:50:40,contact@luther.fr,4
Luthor Corp,F1922774,245.0,2021-06-04,2021-09-02,35,2021-12-19 17:50:40,contact@luther.fr,4
Luthor Corp,F1922782,34239.0,2021-06-04,2021-09-02,35,2021-12-19 17:50:40,contact@luther.fr,4
Luthor Corp,F1922784,730.35,2021-06-04,2021-09-02,35,2021-12-19 17:50:40,contact@luther.fr,4
Luthor Corp,F1922785,457.0,2021-06-04,2021-09-02,35,2021-12-19 17:50:40,contact@luther.fr,4
Sofroco-Gedec,21F321453,385.4,2021-08-03,2021-09-03,35,2021-12-19 17:50:40,contact@sofroco-gedec.fr,21
Capsule Corp,116231177,76.0,2021-07-08,2021-09-08,36,2021-12-19 17:52:18,contact@capsule-corp.fr,1
Capsule Corp,115912802b,37.0,2021-03-04,2021-09-08,36,2021-12-19 17:52:18,contact@capsule-corp.fr,1
Cordell SA,58437,235.0,2021-08-09,2021-09-08,36,2021-12-19 17:52:18,,10
Luthor Corp,F1922849,1157.23,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922867,20527.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922868,70905.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922869,1405.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922871,745.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922872,183.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922873,174.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922875,465.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922876,40.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922893,11540.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922894,190151.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922895,465.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922899,785.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Luthor Corp,F1922950,325.0,2021-06-11,2021-09-09,36,2021-12-19 17:52:18,contact@luther.fr,4
Eurodiscount,399537,425.41,2021-06-30,2021-09-10,36,2021-12-19 17:52:18,contact@eurodiscount.fr,42
Vladis Entreprise,412/1,111.0,2021-07-12,2021-09-10,36,2021-12-19 17:52:18,contact@vladisentreprise.fr,20
Vladis Entreprise,419/1,5.0,2021-07-14,2021-09-12,36,2021-12-19 17:52:18,contact@vladisentreprise.fr,20
Altra Automotive,FF31139,8305.0,2021-08-31,2021-09-13,37,2021-12-22 18:58:19,,13
Guide Duchemin Éditions ,1EQUF/244,2709.32,2021-09-01,2021-09-13,37,2021-12-22 18:58:19,,43
Lacuna Inc,7778,2205.0,2021-08-30,2021-09-13,37,2021-12-22 18:58:19,contact@lacunainc.fr,19
Sienar Technologies,2021-12757,1005.0,2021-05-11,2021-09-13,37,2021-12-22 18:58:19,,8
Sienar Technologies,2021-12986,405.0,2021-05-21,2021-09-13,37,2021-12-22 18:58:19,,8
Sienar Technologies,2021-13075,157.0,1900-03-20,2021-09-13,37,2021-12-22 18:58:19,,8
Sienar Technologies,2021-13353,133.0,2021-06-10,2021-09-13,37,2021-12-22 18:58:19,,8
Sienar Technologies,2021-13468,92.0,2021-06-15,2021-09-13,37,2021-12-22 18:58:19,,8
Sienar Technologies,2021-13485,99.0,2021-06-16,2021-09-13,37,2021-12-22 18:58:19,,8
Sienar Technologies,2021-13586,405.0,2021-06-22,2021-09-13,37,2021-12-22 18:58:19,,8
